8400	6.97	42	33
8450	6.62	40	31
8500	7.29	54	37
8550	6.72	72	41
8600	7.17	77	38
8650	7.45	81	55
8700	6.06	68	52
8750	7.38	35	24
8800	7.56	46	33
8850	8.15	61	33
8900	7.02	48	32
8950	5.85	71	45
9000	7.45	86	43
9050	5.04	71	48
9100	6.97	91	55
9150	7.45	80	33
9200	6.98	43	36
9250	6.98	34	30
9300	6.93	68	39
9350	6.28	40	20
9400	7.36	59	42
9450	7.16	47	31
9500	7.06	43	37
9550	7.3	59	42
9600	7.46	52	46
9650	6.44	69	35
9700	7.39	49	30
9750	7.11	79	48
9800	6.87	69	41
9850	7.3	53	29
9900	6.9	43	38
9950	7.04	52	31
10000	6.44	48	37
10050	7.0	36	33
10100	6.86	49	35
10150	6.1	27	23
10200	6.64	43	49
10250	6.98	26	31
10300	6.49	105	40
10350	6.77	89	42
10400	5.73	67	46
10450	7.22	62	37
10500	7.25	61	42
10550	6.51	46	33
10600	5.48	52	47
10650	6.57	63	55
10700	7.32	62	46
10750	6.46	65	51
10800	7.47	40	32
10850	7.3	82	40
10900	5.86	127	64
10950	6.81	36	36
11000	6.1	44	32
11050	6.8	98	54
11100	6.78	36	38
11150	6.86	21	28
11200	5.96	65	47
11250	7.56	70	37
11300	7.71	47	30
11350	6.94	18	18
11400	7.37	29	37
11450	7.1	27	31
11500	7.28	22	24
11550	6.64	71	50
11600	7.64	70	39
11650	7.51	24	25
11700	7.27	20	23
11750	7.07	36	41
11800	7.51	59	42
11850	7.61	38	40
11900	7.75	60	38
11950	6.76	83	39
12000	6.72	38	23
12050	6.92	41	31
12100	7.4	52	31
12150	7.99	41	26
12200	7.65	118	47
12250	6.83	51	34
12300	7.13	84	41
12350	5.77	69	56
12400	7.37	45	32
12450	6.72	58	39
12500	7.02	44	38
12550	7.16	48	30
12600	7.86	32	25
12650	7.0	55	41
12700	7.65	53	33
12750	6.21	58	58
12800	7.35	30	22
12850	7.54	33	26
12900	6.91	42	30
12950	7.09	33	35
13000	7.85	43	34
13050	7.08	82	49
13100	7.51	29	31
13150	7.55	25	27
13200	7.59	45	30
13250	7.8	27	27
13300	7.67	73	55
13350	7.72	58	49
13400	7.76	57	32
13450	8.07	27	21
13500	7.61	66	45
13550	7.52	30	23
13600	7.75	40	35
13650	7.76	23	18
13700	7.71	46	36
13750	5.85	67	41
13800	7.11	45	46
13850	7.63	38	38
13900	7.6	76	62
13950	7.81	29	18
14000	7.7	28	31
14050	7.32	32	38
14100	7.58	30	36
14150	7.47	32	31
14200	7.27	34	31
14250	7.46	47	38
14300	7.73	42	31
14350	6.97	34	31
14400	8.15	54	34
14450	7.4	58	30
14500	7.43	29	23
14550	6.29	35	25
14600	6.96	35	32
14650	7.86	58	44
14700	7.51	85	45
14750	7.59	51	34
14800	6.97	46	30
14850	7.56	54	41
14900	7.88	47	36
14950	7.69	69	38
15000	7.54	37	31
15050	6.95	65	40
15100	3.88	123	65
15150	6.02	75	42
15200	7.82	77	47
15250	7.47	34	21
15300	7.63	41	29
15350	6.85	52	47
15400	7.06	33	27
15450	7.29	24	28
15500	7.17	15	32
15550	7.54	16	26
15600	7.4	28	15
15650	7.65	51	33
15700	7.35	34	34
15750	6.52	50	36
15800	7.29	51	38
15850	7.84	31	27
15900	7.3	35	19
15950	7.68	36	31
16000	7.69	59	58
16050	7.54	52	36
16100	7.42	35	34
16150	7.3	22	16
16200	7.12	36	33
16250	6.98	88	53
16300	6.95	35	26
